content,creationTime,score,productColor,productSize
iPhone14真的太惊艳了，比较爱玩游戏，最喜欢是就是iPhone了，打游戏完全不会卡顿。之前的手机是内存不够，心心念念的手机终于到手了。14的运行速度非常快，打游戏真的太流畅了，真的非常喜欢这个手机。外观很好看，手感拿着很有质感，屏幕看着非常好，拍照效果很不错，像素高了，新机拍照片怎么都好看。5 G高速运行，超长待机一整天。颜色也好看，白色看起来简单大气，非常的干净整洁。运行非常流畅，屏幕显示细腻，给人很舒服的感觉，而且相机夜景提升很大，拍出来的效果堪比佳能相机。之前的手机内存不够了，这次趁着活动购买的，直接卖的是256G的，这下就不怕内存不足了，性价比比较高。待时间不用可以一天时间，刷视频就不行，不过充电时间快，还是非常喜欢这个手机的。而且色彩的优化升级很好，百搭的白色款式。特意使用了半个月，体验感非常好，有经典一代的感觉。,2022-11-04 22:17:52,5,暗紫色,256GB
?外观颜值： 1：四边等宽的边框，视觉效果控制的非常nice 2：刘海改成挖孔，可视面积有提升，感观不错。 3：后盖手感很好，设计很喜欢 ?体验感受： 1.续航：正常使用一天完全没压力，视频听歌玩游戏，中度使用 2.系统：原神，王者，吃鸡完全不卡，120hz很流畅。 3.拍照：拍照没得说，安卓机没得比，出片很好看 4.录像：感觉比13要强一些，防抖效果很好 5.质感：拿在手上，握持感比上一代机子更好,2022-11-14 15:24:05,5,深空黑色,256GB
"外形外观：外观漂亮，太好看了，很喜欢。
屏幕音效：屏幕比以前用的稍微大一点点 用着正合适。音效超强。
拍照效果：拍照效果超强。像素比以前的大了好多。
运行速度：运营速度超快。不卡顿。
待机时间：待机时间超强。特别完美。
其他特色：紫色太漂亮了，好喜欢。",2022-09-30 22:30:48,5,暗紫色,256GB
"外形外观：大气，iPhone既视感
屏幕音效：音质很好，小音箱质感
拍照效果：4800W，提升还是很大的，辅助功能对于不擅长拍照的也是个福音~
运行速度：很强大的A16芯
待机时间：打王者一局差不多3~5个电，和我的安卓游戏模式下差不多~",2022-11-14 19:56:58,5,金色,256GB
"外形外观：很不错，深空黑大气，后背磨砂质感手感很好
屏幕音效：音质清晰
拍照效果：升级了4800w就是不一样，画质很细腻
运行速度：很流畅，日常使用足够，没试过玩游戏会怎样
待机时间：电量足够，日常使用一天没问题",2022-11-03 10:24:23,5,深空黑色,256GB
"外形外观：外观好看，手感不错
屏幕音效：色彩很好，音质很好
拍照效果：非常好，非常清晰
运行速度：非常流畅，完全不卡，多开不是问题
待机时间：续航时间很长，一天一充差不多，打游戏也能打好久
其他特色：灵动岛很好玩，成功登岛，",2022-11-15 11:02:59,5,暗紫色,256GB
"外形外观：依旧手感顶级
屏幕音效：屏幕提升亮度很多，不伤眼，
拍照效果：4800首次提升像素，效果很明显，夜间拍照也有提升，更亮了，
运行速度：依旧流畅，这个ios依旧很能打
待机时间：刚拿到，有待使用看看
其他特色：紫色颜色很低调，比较暗淡，有点灰阶",2022-09-16 21:40:53,5,暗紫色,128GB
"手机壳收到了，质量很好，做工精细，款式新颖时尚，非常喜欢。
外形外观：外观颜值：颜值很高 材质手感：手感很好
拍照效果：拍照效果很好，拍照效果很好，拍照很清晰
运行速度：很快 屏幕效果：清晰 散热性能：很好 外形外观：很好看 轻。",2022-10-12 20:18:51,5,深空黑色,256GB
信号真的差，其他还可以,2022-11-08 16:13:42,3,暗紫色,256GB
"外形外观：潮流时尚好看，不锈钢材质，手感舒适，平滑，耐指纹
屏幕音效：显示清晰细腻，配合高刷，使用效果杠杠的，还有全新灵动岛
拍照效果：清晰好垃圾
运行速度：6g
待机时间：一天无压力",2022-09-23 15:51:00,5,深空黑色,128GB
"外形外观：外观好看、美观，很丝滑
屏幕音效：屏幕清晰度很高，音效很好
拍照效果：拍照效果不用说了，杠杠滴
运行速度：运行非常快，应该是目前最快的了
待机时间：充电速度很快了，待机时间也很长
其他特色：整体效果非常好，很大气",2022-11-05 18:53:50,5,暗紫色,256GB
"背面一如既往的经典设计，紫色也很耐看，正面灵动岛也
很有新鲜感，就是手机重量越来越重了。这个手机用料就
是扎实，拿在手上的手感很好，很重，是我喜欢的。
iPhone 在使用上绝对没什么毛病，系统太流畅了！手机一
到，就迫不及待用了起来，手感很好，像素提升感很
强！！灵动岛真的好看，比刘海好看多了，成功上岛，完
美下车，机器很好，显示效果很棒，冷屏很赞，开机速度
也快，拍照清晰，运行速度好外观完美黑色一体帅气。
包
装完整，总体满意。回来全面检查没有任何问题，然后激
活，确实惊艳，好看，使用非常舒服，反应灵敏，灵动岛
暂时很多app没有适配，还不那么灵动，哈哈，今年的紫
色真的好看，不过去年的远峰蓝是 YYDS，相机不是提升
一点半点，摄像头也大了很多，哈哈，很不错。手机到货
非常快 首发当日就拿到了 手机，iPhone 14proMax手感非
常好。",2022-12-14 08:23:15,5,深空黑色,256GB
"外形外观：摄像头模块确实很大，别的还好，黑色很好看，很有质感。
屏幕音效：屏幕高刷确实丝滑，对各个app适配的都很好，没有掉帧的情况。
拍照效果：拍照不多不太清楚，正常拍月亮是可以的。
运行速度：运行很快，毕竟是新机，配合高刷很刷。
待机时间：中度使用，不玩游戏，一天绝对够了。",2022-11-10 12:40:52,5,深空黑色,128GB
"真的不要太舒服啊，贼好用，也很好看，银色才是YYDS，紫色太暗了，只有这个颜色是我的最爱。
外形外观：大气，简直不要太好看！
屏幕音效：很棒！！！
拍照效果：比以前的还是有很大进步！
运行速度：顶级处理器，丝滑的很。
待机时间：目前还在使用中，一天完全OK！
其他特色：除了好看好用以外，就是有点难抢啊！
哈哈哈",2022-12-05 12:40:44,5,银色,256GB
"冲着京东电器代言人肖战来买的
外形外观：一如既往的好看，高端大气上档次
屏幕音效：很好看，很清晰
拍照效果：很漂亮，夜景也好看
运行速度：很快，速度流畅
待机时间：很长，比以前的有改善",2022-11-11 10:20:01,5,深空黑色,128GB
"外形外观：酷炫，内涵，低调，颜色喜欢
拍照效果：清晰，也不常拍照，够用就行，这个还是很高清好看的，
运行速度：速度很快，方便使用
其他特色：手感好，很舒适，充电很快，",2022-10-31 22:29:31,5,深空黑色,512GB
"外形外观：很喜欢 紫色不是很张扬的紫色
屏幕音效：也很不错
拍照效果：比上一部12好很多 很真实
运行速度：超快
待机时间：充一次电 可以用一天 而且是基本上长在手上的那种",2022-09-19 11:26:46,5,暗紫色,128GB
"外形外观：颜值在线，手感高级
屏幕音效：高刷非常舒服
拍照效果：清晰，真实
运行速度：快
待机时间：轻度使用两天一冲，中度使用一天一冲应该没问题
其他特色：软件需要适配灵动岛，首发用户算小白鼠了",2022-10-07 19:42:19,5,深空黑色,256GB
"外形外观：好看，非常好看
屏幕音效：很不错，超清晰，声音非常nice
拍照效果：超级清晰
运行速度：很快，不卡顿
其他特色：感觉手感不如13pro那么好，但是也不差",2022-12-11 13:11:40,5,深空黑色,256GB
"外形外观：颜色很好看  高级耐看
屏幕音效：屏幕清晰 显示清晰
拍照效果：拍照像素很高 拍的很清楚
运行速度：运行速度很快 不卡顿
待机时间：待机时间长
其他特色：很不错 物流速度快",2022-12-06 18:50:28,5,暗紫色,256GB
"外形外观：很好，很好很好
屏幕音效：音质很好，没有杂音
拍照效果：明显比13提升很多
运行速度：反应很快
待机时间：待机时间比较短
其他特色：灵动岛没有适配第三方软件",2022-09-21 09:13:30,5,暗紫色,256GB
"外形外观：好看，耐看！
屏幕音效：很好，清晰度很高
拍照效果：很好，够清晰
运行速度：非常顺畅，用着很舒服
待机时间：一天可以不充电，真的很耐用",2022-12-17 21:46:46,5,银色,256GB
"外形外观：外观硬朗，略微硌手，我从XS过来，有点重
屏幕音效：屏幕很好，音效也不错
拍照效果：拍照很不错，很清晰，顶级水准
运行速度：快，流畅
待机时间：一天没问题
其他特色：新颜色紫色挺好看的",2022-11-03 14:19:20,5,暗紫色,256GB
"外形外观：很喜欢 紫色不是很张扬的紫色 手感很不错
屏幕音效：也很不错
拍照效果：比上一部13好很多 很真实
运行速度：超级快
待机时间：充一次电 可以用两三天 而且是基本上长在手上的那种",2022-11-03 20:37:45,5,暗紫色,512GB
"一直是果粉，每出新款都会买，14的灵动岛也挺好看，不用刘海屏了，买了紫色，颜值好看，
外形外观：颜值高，紫色，是我喜欢的紫色，看起来高档紫色，，
屏幕音效：清晰不错，播放音乐声音清晰，看视频视觉很好的，
拍照效果：拍照很清晰，像数4000，比13清晰，",2022-10-18 09:00:58,5,暗紫色,256GB
"外形外观：精致细腻
屏幕音效：屏幕很细腻，音效很棒
拍照效果：非常nice
运行速度：没得说，飞快
待机时间：还行，一天没问题
其他特色：好用就完了",2022-12-16 21:06:13,5,银色,128GB
"外形外观：很好看，没有问题。
屏幕音效：特别好，很漂亮。喜欢
拍照效果：提升了很多，很棒。
运行速度：特别的流畅，秒点秒开
待机时间：一天充一次电就可以了。
其他特色：爱不释手，就是太贵了",2022-12-10 08:49:39,5,暗紫色,256GB
"外形外观：非常完美，手感很好
屏幕音效：音质杠杠的，
拍照效果：PO R 就是不错，质量超棒
待机时间：不太行，老样子 
非常幸运抢到了现货，安全下车特别棒～
运行速度：流畅，要是拉粑粑这么流畅就好了",2022-12-16 21:38:10,5,银色,128GB
换了手机网比以前拉胯很多,2022-11-22 12:09:32,3,暗紫色,256GB
"外形外观：很漂亮，镜头高出来很多，手机很难放平
屏幕音效：非常棒
拍照效果：和13pro拍照相比，光会暗一点
运行速度：很快
其他特色：信号不好，尤其和华为相比，信号依旧是硬伤
待机时间：没有重度使用，开一晚上息屏，掉了8%的电",2022-09-24 21:33:59,5,深空黑色,256GB
"外形外观：很好看，颜值很高。
拍照效果：像素还不错，不怎么。
运行速度：运行很流畅。
待机时间：待机一天没啥问题，续航不错。
其他特色：不送没充电器挺难受的，保护壳也没有。",2022-12-04 23:28:18,5,暗紫色,256GB
"给家里人买的新款iphone手机，家里人的11已经用了好久了 刚好有新出的手机 直接换了
外形外观：靓
屏幕音效：效果俱佳
拍照效果：比11好多了 又清晰
待机时间：待机时长久 电量多
运行速度：真的太流畅了",2022-12-11 14:27:40,5,银色,128GB
"外形外观：后盖很有质感，我在手里很舒适。屏幕音效：屏幕现实色彩细腻，画质很棒。拍照效果：拍照清晰，色彩还原度高。运行速度：玩游
戏很流畅。待机时间：中度使用，一天够用。",2022-12-02 12:43:15,5,暗紫色,256GB
"用着非常流畅，不用苹果永远体会不到苹果手机的快乐，电话的灵动岛也非常beautiful
拍照效果：清晰
屏幕音效：漂亮
外形外观：爱了暗夜紫
运行速度：不是一般手机可以攀比的
待机时间：长
其他特色：没了",2022-11-29 23:04:03,5,暗紫色,128GB
"外形外观：暗紫色，外观很漂亮，颜色很好看
屏幕音效：屏幕比原来稍大一些，用着特别的合适，适合女生使用
拍照效果：拍照效果极强，像素比以前大多了
运行速度：运行速度超级快，没有卡顿",2022-12-17 08:55:42,5,暗紫色,256GB
"外形外观：外观很好看，颜色也很漂亮
屏幕音效：音效有一种3D环绕立体声的感觉，很清晰
拍照效果：很优秀，背景虚化效果很真实
运行速度：特别快，也很顺畅
待机时间：时间较长",2022-11-24 18:11:33,5,暗紫色,256GB
"外形外观：保留以往家族性款式
屏幕音效：和以前没有明显改观，整体和13差不多
拍照效果：对于一般人要求足够
运行速度：运行速度很快，很稳定
待机时间：这个电池还是可以的，不错?，一天稳稳的",2022-09-30 11:50:46,5,暗紫色,256GB
"外形外观：外观设计继承了苹果一贯的高端品质，用料十足，外观大气，单手握感很好。
屏幕音效：屏幕显示像素也是一贯的好评，观感很好，清晰度很柔和，屏幕用着很流畅。音效超级好。
拍照效果：拍照这次升级了主摄像头由1200万升级到了4800万像素，确实很实用，摄像保持很清晰。
运行速度：运行内存刚刚好，但是确实很快，系统很流畅，丝滑。
待机时间：待机时间一天的话很正常，毕竟电池容量不算太大，但是绝对够用。",2022-12-13 21:50:17,5,暗紫色,256GB
"外形外观：很好看，背壳磨砂手感很有质感
屏幕音效：屏幕舒服，音量很大
拍照效果：拍照效果很好，非常不错
运行速度：很快很牛
待机时间：待机时间久，电池给力
其他特色：很不错",2022-12-09 12:08:23,5,银色,256GB
"外形外观：手感非常好，很有高级感
屏幕音效：声音立体感很强
拍照效果：不亏是4800万后摄，拍照清晰，微距更强
运行速度：A16心片，无论游戏还是日常使用，非常流畅
待机时间：充满电，正常不玩游戏，轻微使用，可以做到一天一充",2022-10-29 18:15:36,5,深空黑色,256GB
"外形外观：漂亮，这暗紫色，闷骚
屏幕音效：赞，看起来舒服
拍照效果：很好，很逼真
运行速度：巧克力?般丝滑
待机时间：没测，早上9点多，到晚上9点多，轻度使用，还有38的电，挺不错的",2022-10-26 01:02:09,5,暗紫色,256GB
"外形外观：新款暗紫色 很帅呀 超级喜欢
屏幕音效：还是一如既往的通透 无死角
拍照效果：这个新款14pro拍照更清晰了 聚焦很快
运行速度：A16芯片 杠杠的
待机时间：有待考究 刚开始用感觉还不错",2022-10-09 18:02:32,5,暗紫色,256GB
"京东快递送货非常快，金色也很好看，奶白奶白的金色，很喜欢呀，已经用了快一个礼拜了，很流畅，不错哟！
外形外观：非常好看
屏幕音效：好
拍照效果：喜欢
运行速度：很流畅
待机时间：电量耐用",2022-11-08 20:35:59,5,金色,128GB
"外形外观：颜值很高，手感很OK
屏幕音效：挺好的，就一个手机，可以了
拍照效果：像素高了不少，很明显
运行速度：差不多吧，苹果手机都比较流畅
待机时间：一天肯定是不用充电的，待机OK",2022-12-11 10:36:07,5,暗紫色,256GB
"外形外观：很好看，紫色很出彩，手感好
屏幕音效：音质好，没有杂声
拍照效果：拍照效果提升很大
运行速度：运行流畅，不卡顿
待机时间：待机时间还行",2022-09-16 20:02:40,5,银色,256GB
"外形外观：磨砂手感很好 做工很细腻
屏幕音效：很流畅
拍照效果：4800可以了 不虚了
运行速度：速度可以
待机时间：六个小时了 一直在用 才掉了30电",2022-09-29 00:43:17,5,深空黑色,512GB
"外形外观：好看！
屏幕音效：比我之前的se好用多了！
拍照效果：好！很强
运行速度：很快！
待机时间：续航一天不怎么用可以不充电
其他特色：暗紫色在太阳下非常好看，渐变得很高级。",2022-10-28 21:14:12,5,暗紫色,256GB
"外形外观： 第二个了 一直京东购  买 物流 很快
屏幕音效：屏幕无 瑕疵  音效 声音挺大的
拍照效果：本人用正常 可以
运行速度：运营速度快
待机时间： 正常 待机",2022-12-16 19:03:51,5,银色,256GB
"发货速度快，京东购买有保障，值得信赖。
外形外观：紫色颜值很高，值得购买，手感也很好
屏幕音效：屏幕清晰，质量很好
拍照效果：像素高，拍照特别清晰，家人很喜欢
运行速度：运营速度快，待机时间也很长，充电速度快，很喜欢",2022-12-03 20:54:39,5,暗紫色,128GB
使用效果一般，但是服务挺好的,2022-11-27 09:39:52,3,暗紫色,256GB
"收到了！收到了！11号抢的，17号收到了，黑色的太好看了，磨砂效果，内存256g足够使用了，淘汰了13promax，换了14pro，大小太合适了，也不重，单手很顺手，拍照没得说，各方面体感完美！
运行速度：快
拍照效果：一如既往的好
外形外观：黑色边框也变黑色了，真正意义的成全黑了
待机时间：正常使用没问题
屏幕音效：屏幕感觉更柔和了",2022-09-20 11:05:54,5,深空黑色,256GB
"外形外观：灵动岛设计真是太好玩了。
屏幕音效：比上一代屏幕亮度更高，阳光下也很清晰，双扬声器杜比音效，音效真的很棒。
拍照效果：主摄4800W像素，对比前代产品，真是提升不要太多。
运行速度：A16芯片目前没有几家可以超越的。
待机时间：明显感觉比上代有延长。",2022-10-16 08:42:39,5,银色,256GB
"待机时间：使用一整天完全没问题，待机时间很长。一天一充。重度打游戏使用得两充。
运行速度：6GB的运行内存，完全够用。比安卓的16gb运行内存好多了。
拍照效果：4800万像素摄像头拍照十分清晰。
屏幕音效：音效特别好。",2022-12-10 18:51:46,5,暗紫色,256GB
"外形外观： 原封  未开封   不错 哦
屏幕音效：屏  幕无 瑕疵  音效 声音 挺大
拍照效果：拍照 很好
运行速度： 运营速度快
待机时间：正常",2022-12-16 19:01:25,5,暗紫色,256GB
"完美简约的包装设计，新款暗紫色非常好看，整体
比13promax更轻薄，质感更好，运行更流畅，拍
照方面夜景非常清晰，信号比上一代好，开5G比较
耗电，不过网速贼啦快，总体来说非常满意，很幸运！",2022-09-24 19:58:14,5,暗紫色,256GB
"外形外观：大气，圆润手感好
屏幕音效：屏幕分辨率高，音质完美
拍照效果：前置后置高清摄像头拍照非常清晰
运行速度：刷新率高，屏幕滑动反应灵敏
待机时间：待机时间长，充电速度快
其他特色：灵动岛好玩又好看",2022-10-31 11:58:55,5,暗紫色,128GB
14的灵动岛也挺好看，不用刘海屏了，买了紫色，颜值好看，颜值高，紫色，是我喜欢的紫色，看起来高档紫色，清晰不错，播放音乐声音清晰，看视频视觉很好的，拍照很清晰，像数4000，比13清晰，,2022-11-15 11:40:22,5,暗紫色,256GB
"外形外观：外观没得说，分量很足，紫色很靓
屏幕音效：太阳下用也很清晰
拍照效果：4800效果不错，不过一般用的少
运行速度：快
待机时间：久",2022-11-20 01:09:29,5,暗紫色,256GB
"外形外观：边框非常漂亮但容易留指纹，这个颜色很高级，男女通用，缺点：单手操作有点重（女生来讲）
运行速度：苹果手机独有的系统，ios运行稳定，安全，易操作，很流畅
屏幕音效：屏幕清晰顺滑，亮度很高，白天太阳下都可以很清晰，显示效果细腻漂亮",2022-12-11 13:02:51,5,银色,256GB
"外形外观：非常喜欢这个紫色，就是冲这个颜色买的，很好看
屏幕音效：屏幕用着不会累眼睛
拍照效果：拍照效果真的很好，很清晰
运行速度：不会卡顿或者闪退，用起来非常流畅
待机时间：待机时间不会特别长，觉得还挺点的，一天不干嘛也要两充",2022-11-20 18:12:55,5,暗紫色,128GB
"外形外观：金属边框手感确实很棒
屏幕音效：灵动岛的设计在打游戏时会予以影响
拍照效果：相机很能打，变焦很稳，夜间拍摄时效果也不错
运行速度：感觉不出来卡顿，动画非常流畅
待机时间：使用一天，要充个两三次",2022-10-23 21:39:25,5,银色,256GB
真的非常喜欢这个手机。外观很好看，手感拿着很有质感，屏幕看着非常好，拍照效果很不错，像素高了，新机拍照片怎么都好看。5G高速运行，超长待机一整天。颜色也好看，白色看起来简单大气，非常的干净整洁。运行非常流畅，屏幕显示细腻，给人很舒服的感觉，而且相机夜景提升很大，拍出来的效果堪比佳能相机。之前的手机内存不够了，这次趁着活动购买的，直接卖的是256G的，这下就不怕内存不足了，性价比比较高。待时间不用可以一天时间，刷视频就不行，不过充电时间快，还是非常喜欢这个手机的。而且色彩的优化升级很好，百搭的紫色款式。特意使用了半个月，体验感非常好，,2022-12-07 22:10:39,5,暗紫色,128GB
"外形外观：一直喜欢用黑色的，这次选个紫色的。除了颜色，外形没啥变化，最大的体验是灵动岛
屏幕音效：音效挺不错的，屏幕丝滑
拍照效果：感觉比以前的好
运行速度：运行速度与激情，很顺畅
待机时间：能够接受，一天一充
整体效果不错，早买早享受。",2022-11-02 22:48:44,5,暗紫色,256GB
"外形外观：四四方方，手感比较硬朗。
拍照效果：拍照效果很好
运行速度：运行流畅，比安卓强。侧边返回方式没有安卓好
待机时间：一天一充，充电速度也不算很慢。在接受范围内
其他特色：颜色很满意，屏幕素质也很好。值得购买的一款手机，除了有点贵，其他方面没毛病。",2022-10-08 10:27:31,5,暗紫色,256GB
"外形外观：黑色经典
屏幕音效：120高刷嘎嘎的
拍照效果：天花板，尤其是视频拍摄能力
运行速度：最快
待机时间：一天
其他特色：手机收到了，质量很好，做工精细，款式新颖时尚，非常喜欢。这台自己用。",2022-09-23 16:53:29,5,深空黑色,256GB
"外形外观：手感很好，漂亮大气。
屏幕音效：画质真的没得说，而且音质也很好。
拍照效果：原相机拍手指指纹清晰可见。
运行速度：一点也不卡。
待机时间：白天基本都在看手机，一天一充。
其他特色：贵。",2022-10-27 21:04:05,5,暗紫色,256GB
"屏幕音效：比我原来的11高清多了
外形外观：摄像头大了一整圈，颜值爆表
拍照效果：拍照清晰了许多，录视频和摄像机一样
运行速度：处理器真给力，进去软件也是秒进
待机时间：用一整天都没用完，
其他特色：外观设计风格很独特，颜色也绝了",2022-10-16 18:02:13,5,暗紫色,512GB
