名字,评论,时间
300****984,一次难忘的户外体验。道路艰险，但能坚持下来也是胜利。山顶孤独的守护者让我们敬畏。,2017-06-21
m41****88,风景不错，空气也非常新鲜，值得一游,2018-09-01
小凉同学,风景超级好看，一路上有很多奇形怪状的石头，很有特点。,2015-04-02
m41****88,老君山 由老君山原始林区、薄竹山和西华山三个片区组成,2018-11-27
m41****88,老君山景色不错，特别是秋天， 怪石嶙峋的很好看,2018-03-28
m41****88,景色非常好，空气业非常新鲜，可以去玩玩,2018-12-27
我是津少,很不错的感觉，让人流连忘返,2016-11-12
33号猪猪侠,很多人在这里露营的，农家乐很好，就是山路太长，有些千奇百怪的石头还是值得看的，风景耶很漂亮!,2015-03-21
Abby欣,风景很漂亮!!!农家乐很好!就是山路太长，女生要缓缓,2013-10-24
LG彩电,非常漂亮的景色，有山有水，值得一去！！！,2017-07-02
LG彩电,非常不错的一个景区，环境也不错，值得一去！！！,2017-09-26
mmm212,老君山在神农架主峰东北。因传说古时太上老君常在此炼丹而得名。,2014-04-04
M58****31,中国到底有几座老君山？ 中国到底有几座老君山？,2016-04-04
