价格,标签,详情,付款,店铺
3299.00,Huawei/华为MatePad Pro 10.8英寸平板2021款鸿蒙matepadpro学习,https://detail.tmall.com/item.htm?id=648627456971&ns=1&abbucket=13,200+人付款,天猫超市
2349.00,【热销爆品】Xiaomi/小米平板5 Pro新品学习办公娱乐120Hz屏幕神器小米官方旗舰店官网首发电脑,https://detail.tmall.com/item.htm?id=651629756352&ns=1&abbucket=13,100+人付款,小米官方旗舰店
1699.00,【3期免息 顺丰速发】三星新款Tab A8官方正品平板电脑Samsung Galaxy 10.5英寸办公娱乐影音学生学习,https://detail.tmall.com/item.htm?id=666850611181&ns=1&abbucket=13,400+人付款,三星官方旗舰店
998.00,【领劵立减】Lenovo/联想平板小新Pad Plus 11英寸 6GB+128GB WIFI 2k全面屏 学习办公娱乐影音网课电脑,https://detail.tmall.com/item.htm?id=645492936117&ns=1&abbucket=13,400+人付款,联想艾克兰斯专卖店
11588.00,【12期免息】Microsoft/微软 Surface Pro 8 i7 16GB 512GB 13英寸电脑二合一win11系统商务办公,https://detail.tmall.com/item.htm?id=656703235151&ns=1&abbucket=13,100+人付款,微软中国官方旗舰店
5498.00,2021新款Apple/苹果 iPad Pro 11 英寸平板电脑12.9寸5G国行美版,https://item.taobao.com/item.htm?id=614102762340&ns=1&abbucket=13#detail,700+人付款,华夏数码科技有限公司
2499.00,华为Matepad11 平板电脑2021新款10.95英寸游戏办公学生学习pad全面屏120Hz鸿蒙官方旗舰店华为ipad,https://detail.tmall.com/item.htm?id=650187326696&ns=1&abbucket=13,1000+人付款,华为宏威科锐专卖店
2499.00,【咨询减150】华为matepad11平板电脑2021新款学生学习网课画画pad游戏二合一11官方旗舰店官网pro正品ipad,https://detail.tmall.com/item.htm?id=650532795196&ns=1&abbucket=13,1000+人付款,蓝阳数码专营店
3103.00,2021新款 Apple/苹果 iPad mini6 平板电脑8.3英寸ipadmini6迷你6,https://item.taobao.com/item.htm?id=633715197220&ns=1&abbucket=13#detail,100+人付款,xiaoshengjin
3599.00,【国行正品 天猫直发】Apple/苹果 iPad 10.2英寸9代电脑第九代学生学网课2021新款教育游戏优惠官方pro,https://detail.tmall.com/item.htm?id=655376137075&ns=1&abbucket=13,1000+人付款,onezero美承数码旗舰店
2299.00,【分期免息咨询更优惠】oppo平板电脑新款pad原装正品学生家用网课学习游戏办公绘画商务用2022新品官方旗舰,https://detail.tmall.com/item.htm?id=668647389698&ns=1&abbucket=13,400+人付款,oppo普天精诚专卖店
